# D_1  D_2  D_3  Sigma_a_1  Sigma_a_2  Sigma_a_3  q_1  q_2  q_3
1.557581e+00 1.659674e+00 1.835658e+00 8.851056e-01 3.379218e-01 7.648097e-02 1.353267e-01 9.432418e-01 5.266417e-01
1.893907e+00 1.243337e+00 1.841552e+00 2.576850e-01 8.323005e-01 5.803657e-01 1.284677e+00 8.620364e-01 5.719441e-01
1.183397e+00 1.131561e+00 6.338735e-01 5.242559e-01 2.418095e-01 4.232516e-01 1.618081e+00 1.727057e+00 1.087291e+00
1.052848e+00 8.720814e-01 1.467087e+00 8.663830e-01 4.391157e-01 8.787639e-01 1.125595e+00 6.071252e-01 1.357599e+00
1.725055e+00 4.723792e-01 1.876469e+00 1.696033e-01 9.031345e-01 3.030658e-01 9.996077e-01 1.494986e+00 6.317958e-02
6.257696e-01 1.844961e+00 3.720077e-01 1.877719e-01 4.628930e-01 8.055084e-01 3.460337e-01 9.945904e-01 1.200368e+00
7.477621e-01 1.502106e+00 4.443256e-01 1.453573e-01 2.710106e-01 5.588664e-01 1.185282e+00 4.576483e-01 1.819940e-01
7.376118e-01 4.497399e-01 9.043687e-01 6.494732e-01 5.911768e-01 7.930388e-01 4.667265e-01 7.365996e-02 3.304798e-01
1.633378e+00 1.935538e+00 1.130889e+00 3.494773e-01 2.912698e-01 5.375269e-01 5.097028e-01 1.071911e+00 1.391845e+00
1.006585e+00 2.014768e-01 1.524018e+00 2.861321e-01 7.550017e-01 7.886445e-01 1.304004e+00 1.988666e-02 1.836678e+00
1.484152e+00 3.066825e-01 1.287617e+00 1.301100e-01 9.375342e-01 7.089041e-01 1.965274e+00 1.032839e+00 9.790930e-01
1.397786e+00 1.201202e+00 5.585147e-01 8.290354e-01 1.138317e-01 3.136961e-01 9.768473e-02 1.947789e+00 7.080261e-01
7.075333e-01 3.101008e-01 8.634064e-01 2.230169e-01 5.323215e-01 4.399431e-01 1.478626e+00 1.546095e+00 4.164739e-01
1.315931e+00 9.040371e-01 1.211977e+00 6.842197e-01 8.015354e-01 2.965332e-01 1.223108e+00 5.807150e-01 7.881034e-01
4.743779e-01 1.990387e+00 5.269985e-01 3.270050e-01 4.009863e-01 2.514767e-01 1.708827e+00 1.438883e+00 1.327413e+00
9.066236e-01 1.065658e+00 1.782480e+00 4.223960e-01 6.264084e-01 9.254297e-02 8.683969e-01 9.505279e-02 1.582654e+00
1.335317e+00 4.273715e-01 1.642831e+00 6.227126e-01 7.909371e-02 5.147484e-01 1.336566e+00 1.507541e+00 1.177373e+00
1.518640e+00 3.910949e-01 6.996297e-01 7.777882e-01 7.419556e-01 2.424081e-01 2.932083e-01 1.317501e+00 1.926722e+00
1.149736e+00 1.820577e+00 5.116253e-01 4.474459e-01 5.437331e-01 9.166602e-01 5.881608e-01 1.455258e+00 1.152934e+00
6.985621e-01 1.906534e+00 1.700501e+00 3.085795e-01 3.714586e-01 7.528636e-01 6.357739e-01 4.293035e-01 7.303433e-01
2.563161e-01 2.501623e-01 4.259670e-01 9.771949e-01 4.965930e-01 2.105921e-01 1.921030e-01 1.179116e+00 6.999368e-01
1.430772e+00 5.224755e-01 9.006674e-01 6.440344e-01 9.854943e-01 4.730563e-01 7.441872e-01 1.157848e+00 4.511268e-02
8.375766e-01 3.560655e-01 3.080370e-01 9.222621e-02 3.215972e-01 9.815797e-01 1.395853e+00 4.689209e-01 8.310300e-01
5.899697e-01 1.328472e+00 1.444921e+00 7.110140e-01 3.624360e-01 3.312444e-01 1.769313e+00 9.685402e-01 1.695793e+00
3.342067e-01 1.462947e+00 3.569638e-01 7.512341e-01 8.717762e-01 3.658900e-01 5.377390e-01 3.430339e-01 1.363822e+00
1.380557e+00 9.564300e-01 2.071004e-01 5.935661e-01 6.302346e-01 9.735331e-01 1.833305e+00 8.820481e-01 6.564635e-01
6.111143e-01 5.791801e-01 6.731806e-01 6.722237e-01 9.328685e-01 4.008554e-01 1.743023e+00 1.647144e+00 2.711634e-01
7.710765e-01 1.351360e+00 1.981332e+00 8.869302e-01 8.190415e-01 5.308845e-01 1.995134e+00 1.284292e+00 1.262070e+00
1.358570e+00 7.516230e-01 4.567525e-01 5.393758e-01 9.476185e-01 2.157184e-01 1.431624e+00 2.213721e-01 1.193611e-01
4.420711e-01 1.549044e+00 1.742855e+00 5.515146e-01 8.200077e-01 7.725953e-01 1.550832e+00 2.147096e-01 8.482370e-01
1.790619e+00 1.142289e+00 8.113561e-01 3.064863e-01 5.614695e-01 6.140304e-01 1.028395e+00 1.259224e+00 6.095081e-01
1.965975e+00 1.455594e+00 1.347730e+00 2.160191e-01 3.325459e-01 1.532078e-01 1.073258e+00 5.374777e-02 8.756892e-01
6.356583e-01 1.623177e+00 7.887695e-01 8.128177e-01 2.587267e-01 2.333754e-01 3.212658e-01 1.381486e-01 3.792927e-01
7.991085e-01 6.349917e-01 5.730177e-01 3.405053e-01 3.445695e-01 9.555665e-01 9.300767e-01 3.974073e-01 1.184911e+00
1.807654e+00 9.249884e-01 1.330494e+00 1.580316e-01 6.526372e-01 3.597651e-01 6.187101e-01 1.612921e+00 2.723310e-03
1.915635e+00 1.811906e+00 1.914882e+00 8.681115e-01 8.791961e-01 4.608953e-01 1.684097e+00 9.104523e-01 1.854895e+00
1.758381e+00 1.182033e+00 2.832804e-01 4.064827e-01 4.690232e-01 9.292909e-01 1.522740e+00 1.127158e+00 1.913541e+00
1.837490e+00 4.969818e-01 1.258452e+00 4.185918e-01 4.844838e-01 7.033025e-01 1.008210e+00 6.698995e-01 1.708930e+00
6.639440e-01 1.953640e+00 1.205988e+00 4.764657e-01 6.802415e-01 4.137234e-01 9.103902e-01 9.264250e-01 1.732952e+00
3.762404e-01 5.703627e-01 1.638305e+00 7.052921e-01 5.728702e-01 2.634911e-01 2.275305e-01 1.523441e+00 1.618883e+00
1.239667e+00 1.801400e+00 1.548270e+00 3.194934e-01 9.917695e-01 9.674745e-01 6.967882e-02 1.749907e+00 1.876838e+00
1.614746e+00 1.288245e+00 1.551757e+00 5.083908e-01 4.091570e-01 3.194516e-01 1.413493e+00 4.132232e-01 1.431364e+00
2.165185e-01 8.450745e-01 1.862775e+00 6.115528e-01 1.222558e-01 1.661244e-01 1.155856e+00 1.971706e+00 5.181725e-01
1.094413e+00 1.857006e+00 9.282151e-01 7.571442e-01 9.954298e-02 8.870868e-01 1.031830e-03 1.634756e+00 8.182582e-01
5.330064e-01 1.700941e+00 1.098050e+00 4.851668e-01 5.506124e-01 3.498721e-01 1.207634e+00 1.046719e+00 2.354231e-01
2.733875e-01 1.722089e+00 1.053547e+00 2.897291e-01 7.447388e-01 9.424056e-01 7.723846e-01 7.200019e-01 1.623712e-01
8.747921e-01 6.971658e-01 2.587684e-01 2.385709e-01 1.798953e-01 8.576783e-01 2.041831e-02 8.442532e-01 7.512342e-01
2.218310e-01 7.985003e-01 7.583575e-01 9.687615e-01 4.172229e-01 8.372238e-01 1.678984e+00 1.365794e+00 1.232145e+00
4.003885e-01 1.575187e+00 1.573198e+00 8.404090e-01 6.675525e-01 3.441435e-01 5.528164e-01 5.510621e-01 5.575867e-01
4.251092e-01 9.910461e-01 8.440530e-01 8.540016e-01 7.673594e-01 6.441521e-01 5.697001e-01 6.877890e-01 2.903246e-01
1.708132e+00 7.336793e-01 7.223631e-01 3.997871e-01 6.649000e-01 6.956949e-01 8.089663e-01 1.113153e+00 1.952252e+00
1.951310e+00 2.645294e-01 6.529699e-01 2.773623e-01 5.987061e-01 2.846954e-01 6.829452e-01 1.844479e+00 1.014303e+00
1.869838e+00 1.389175e+00 5.835974e-01 4.505410e-01 5.670423e-02 5.517964e-02 4.213251e-01 7.493603e-01 3.816774e-01
9.294613e-01 3.269392e-01 3.895762e-01 8.083091e-01 4.289079e-01 6.054049e-01 8.336193e-01 1.400045e+00 1.441127e+00
3.826829e-01 2.758052e-01 1.034535e+00 7.413706e-01 6.668397e-02 1.969308e-01 9.584797e-01 5.137260e-01 9.206080e-01
1.261369e+00 1.606481e+00 1.151888e+00 4.893154e-01 2.107589e-01 8.259790e-01 1.055847e+00 1.397307e+00 1.062137e+00
1.881229e+00 7.217075e-01 9.777346e-01 3.662985e-01 2.819407e-01 2.707278e-01 3.604291e-01 3.717315e-02 1.025110e+00
6.733142e-01 1.406049e+00 1.596109e+00 4.390923e-01 6.963245e-01 8.452963e-01 1.640779e+00 1.974937e-01 9.809677e-01
1.853246e+00 1.376585e+00 4.840007e-01 1.769392e-01 3.747195e-01 8.526644e-01 1.702532e-01 1.203923e+00 1.411929e+00
1.930240e+00 1.209052e+00 1.080733e+00 6.892453e-01 8.602339e-01 1.134093e-01 1.811465e+00 7.996284e-01 1.111446e+00
1.167205e+00 1.561520e+00 1.385723e+00 4.653401e-01 3.828970e-01 4.579382e-01 6.721269e-01 7.110274e-01 1.969106e+00
1.103381e+00 1.640838e+00 1.930439e+00 7.976261e-02 4.500275e-01 3.847178e-01 5.752050e-02 2.637116e-01 1.120179e+00
2.430649e-01 1.767231e+00 9.522524e-01 3.870901e-01 1.499284e-01 7.378306e-01 1.917957e+00 1.321821e+00 1.050384e+00
9.601742e-01 1.587439e+00 2.481562e-01 5.664023e-01 1.283986e-01 6.796140e-01 4.197859e-01 1.901420e+00 1.662527e+00
1.583142e+00 1.356892e+00 1.611589e+00 2.451679e-01 1.952126e-01 4.875004e-01 1.586673e+00 1.772739e+00 1.620102e+00
1.539021e+00 1.308374e+00 1.658460e+00 6.067309e-01 7.980440e-01 5.024099e-01 1.789371e+00 8.125718e-01 2.159245e-01
1.135544e+00 1.006498e+00 1.013024e+00 9.395810e-01 3.051195e-01 1.889709e-01 1.179873e+00 1.275735e+00 1.498213e+00
8.592547e-01 7.808094e-01 1.761490e+00 9.091078e-01 2.386894e-01 6.899440e-02 8.940073e-01 6.531723e-01 1.541446e+00
1.454485e+00 1.105097e+00 8.675121e-01 9.894259e-01 1.580209e-01 9.012098e-01 1.341149e+00 1.570388e+00 4.931800e-01
1.505387e+00 1.744841e+00 1.393628e+00 5.329389e-01 7.217415e-01 8.226301e-02 1.258191e+00 1.223256e+00 9.410657e-01
7.815614e-01 1.491427e+00 1.158594e+00 2.108669e-01 7.135969e-01 5.240610e-01 1.872333e+00 1.354689e+00 3.164378e-02
9.451200e-01 1.966283e+00 1.419430e+00 8.237361e-01 8.874341e-01 1.166462e-01 1.503874e+00 1.400812e-01 1.992478e+00
1.044937e+00 4.665143e-01 1.682463e+00 3.799358e-01 1.659053e-01 1.003757e-01 1.886955e+00 1.093206e+00 1.471735e+00
1.679622e+00 1.042963e+00 5.975694e-01 1.205916e-01 6.451556e-01 4.846433e-01 2.115532e-01 7.633062e-01 1.519806e+00
1.603788e+00 5.452009e-01 1.304668e+00 9.171484e-01 9.550227e-01 4.030341e-01 1.733055e+00 1.703176e+00 6.722730e-01
1.275650e+00 6.252851e-01 8.178829e-01 6.641929e-01 7.738304e-01 6.234317e-01 1.482146e-01 1.478122e+00 3.033227e-01
