# D_1  D_2  D_3  D_4  D_5  Sigma_a_1  Sigma_a_2  Sigma_a_3  Sigma_a_4  Sigma_a_5  q_1  q_2  q_3  q_4  q_5
9.247325e-01 1.599422e+00 3.252000e-01 7.428226e-01 1.020995e+00 3.986290e-01 2.386617e-01 6.186199e-01 2.849835e-01 8.092095e-02 8.435859e-01 7.175621e-01 2.082500e-01 1.429490e+00 6.878606e-01
1.481724e+00 1.974737e+00 1.488736e+00 1.936625e+00 1.026141e+00 3.337217e-01 7.660975e-01 1.796939e-01 1.898266e-01 2.889265e-01 1.250582e-01 6.049740e-01 1.529452e+00 1.348116e+00 1.085157e+00
5.051574e-01 1.018486e+00 4.534816e-01 5.617326e-01 1.705040e+00 9.451512e-02 2.197372e-01 3.094123e-01 9.603490e-01 4.059895e-01 2.635477e-01 1.124730e+00 1.756492e+00 3.522705e-01 1.200726e+00
2.851579e-01 9.139523e-01 1.527228e+00 1.729185e+00 1.364552e+00 4.885069e-01 4.394960e-01 6.991569e-01 8.779597e-01 9.021658e-01 9.428962e-01 3.612979e-01 2.140705e-01 1.702590e+00 9.412185e-02
6.574898e-01 7.621226e-01 1.110482e+00 7.980338e-01 2.938976e-01 6.923534e-01 3.623129e-01 6.514188e-01 7.782124e-01 5.981714e-01 1.398081e+00 8.999103e-01 7.229760e-01 2.007202e-01 1.386690e+00
7.542228e-01 4.670956e-01 1.279026e+00 2.362179e-01 2.283596e-01 7.835671e-01 1.632154e-01 8.225327e-01 8.506672e-01 5.413975e-01 4.132472e-01 8.438337e-01 1.385822e-02 1.734308e-01 4.534244e-01
1.596989e+00 1.335875e+00 5.697984e-01 1.096819e+00 1.972688e+00 6.658674e-01 9.036439e-01 9.614366e-01 6.541384e-01 6.523486e-01 7.956201e-01 9.497740e-01 2.555764e-01 3.793683e-01 2.466868e-01
1.533977e+00 1.452662e+00 9.537010e-01 3.630964e-01 1.929329e+00 8.939784e-01 3.580898e-01 6.951195e-01 8.488057e-01 9.140249e-01 5.102009e-01 9.559594e-01 1.675813e+00 9.530348e-01 3.503776e-01
7.383455e-01 5.367217e-01 3.727004e-01 1.162589e+00 1.129863e+00 2.435215e-01 3.746606e-01 6.769116e-01 2.537281e-01 2.565343e-01 1.356056e+00 1.747750e-01 7.252431e-01 7.199377e-02 1.600830e+00
1.425715e+00 1.927789e+00 9.212418e-01 1.602202e+00 1.500244e+00 3.280204e-01 7.761028e-01 5.747566e-01 7.267868e-01 9.045951e-01 1.280405e+00 1.820626e+00 3.492503e-01 1.237040e+00 2.401349e-01
2.255406e-01 5.727106e-01 1.317071e+00 1.865556e+00 1.787139e+00 7.140302e-01 5.738623e-01 8.366121e-01 2.591194e-01 3.316356e-01 5.060816e-01 5.460733e-01 8.337683e-01 1.055479e+00 1.001924e+00
8.219176e-01 1.660031e+00 9.288433e-01 1.961217e+00 1.289242e+00 2.780575e-01 5.831082e-01 4.138736e-01 2.205984e-01 4.142865e-01 4.736214e-01 1.010263e+00 1.929856e+00 6.379701e-02 2.059807e-01
3.455901e-01 1.895731e+00 2.480098e-01 1.267724e+00 1.404298e+00 7.818255e-02 8.629994e-01 5.675307e-01 9.417313e-02 6.593568e-01 1.841668e+00 1.514512e+00 5.562695e-01 1.006458e+00 8.439343e-01
1.367945e+00 5.767858e-01 7.825926e-01 8.794756e-01 6.043524e-01 6.042027e-01 4.502900e-01 6.892050e-01 7.500037e-01 2.633481e-01 4.028705e-01 2.876439e-01 8.777224e-01 1.400867e-01 5.152672e-01
1.376424e+00 1.075336e+00 1.503078e+00 1.153461e+00 6.052366e-01 8.026094e-01 2.151752e-01 9.376828e-01 7.285693e-01 7.172829e-01 1.291284e+00 3.009646e-01 1.723036e+00 1.054496e+00 1.243575e+00
1.685551e+00 3.943257e-01 1.171305e+00 1.018329e+00 7.589034e-01 3.876048e-01 2.628224e-01 8.437054e-01 6.135282e-02 7.556444e-01 1.899341e+00 1.948596e+00 1.178161e-01 1.445902e+00 1.223357e+00
1.648846e+00 2.820704e-01 1.085046e+00 1.631492e+00 7.733455e-01 7.024511e-01 6.747555e-01 8.150897e-01 5.528805e-01 8.091958e-01 6.753488e-01 4.513689e-01 7.693252e-01 1.097165e+00 1.174574e-01
9.456108e-01 1.220167e+00 2.860778e-01 1.349217e+00 1.502253e+00 8.636406e-01 2.117396e-01 2.742932e-01 3.953446e-01 1.200901e-01 1.082756e+00 1.556098e+00 6.869740e-02 1.210494e+00 1.942360e+00
1.229749e+00 1.366394e+00 1.186449e+00 1.299985e+00 4.564133e-01 9.063462e-01 3.415057e-01 4.102496e-01 5.295663e-01 9.887698e-01 9.271644e-02 1.565144e+00 7.901813e-01 2.947438e-01 1.310905e+00
6.831086e-01 6.930216e-01 1.837511e+00 4.489524e-01 1.752886e+00 6.292780e-01 3.320179e-01 6.386299e-01 9.579117e-01 1.478824e-01 1.263907e+00 1.788038e+00 8.373918e-01 1.383832e+00 1.981646e+00
5.687520e-01 4.331188e-01 1.363510e+00 1.315488e+00 1.559796e+00 2.022060e-01 7.461760e-01 9.268694e-01 5.673824e-01 9.877154e-01 1.694007e-01 1.508560e+00 1.448298e+00 8.088830e-01 1.438887e+00
1.454656e+00 5.899425e-01 9.586571e-01 5.710488e-01 6.348494e-01 8.573046e-01 1.325670e-01 1.666118e-01 4.647007e-01 9.085033e-02 8.987103e-01 1.241638e+00 9.966055e-01 1.187514e+00 9.859673e-01
2.764078e-01 1.201744e+00 1.204233e+00 1.976441e+00 1.145505e+00 2.074162e-01 9.737561e-01 7.287577e-01 5.465526e-01 2.041616e-01 7.355656e-01 7.800369e-01 1.473628e+00 9.335630e-01 1.918122e+00
3.403883e-01 1.717660e+00 1.469617e+00 7.741211e-01 1.413279e+00 4.472278e-01 1.852536e-01 3.716962e-01 1.225519e-01 3.864436e-01 1.308825e+00 7.116754e-01 6.140890e-01 1.756898e+00 1.328734e+00
1.768147e+00 1.649540e+00 4.169751e-01 1.740812e+00 1.210840e+00 2.012511e-01 6.593333e-01 9.444477e-01 3.139836e-01 8.008624e-01 1.737384e+00 1.442735e+00 1.125429e+00 8.292199e-01 7.896505e-01
7.102363e-01 1.757153e+00 1.285965e+00 5.378988e-01 1.849485e+00 2.576063e-01 9.546965e-02 5.881375e-01 3.583134e-01 8.640701e-01 8.712961e-01 7.877225e-02 1.106983e+00 7.580646e-02 1.415243e+00
1.179263e+00 9.472085e-01 6.435151e-01 1.022854e+00 1.164899e+00 9.741935e-01 2.086024e-01 4.579319e-01 9.374458e-01 6.972244e-01 3.038095e-01 1.978972e+00 6.534619e-01 1.121715e+00 8.270025e-02
1.060626e+00 2.100429e-01 1.529176e+00 4.226631e-01 6.251099e-01 8.992003e-01 5.122644e-02 7.553502e-01 4.387832e-01 9.466838e-01 1.633996e+00 2.854309e-02 2.977090e-01 5.973570e-04 3.254767e-01
1.320952e+00 8.775096e-01 1.467549e+00 6.458276e-01 5.391664e-01 8.405804e-01 7.005241e-01 7.189142e-01 4.012755e-01 6.029954e-01 7.674322e-01 1.950824e+00 5.392481e-02 3.207666e-02 5.944326e-01
1.817645e+00 1.434907e+00 5.844408e-01 5.081500e-01 1.083744e+00 9.620210e-01 9.846547e-01 7.989924e-01 5.699611e-01 2.375853e-01 7.241793e-01 6.373085e-01 8.063534e-01 1.943137e-01 1.534767e+00
1.980378e+00 1.618418e+00 4.093145e-01 1.379203e+00 1.092566e+00 6.613308e-01 1.811267e-01 1.644154e-01 8.877994e-01 8.203990e-01 1.769115e+00 9.774261e-01 3.200713e-01 1.838603e+00 1.950279e+00
8.542281e-01 2.463621e-01 1.617283e+00 3.589326e-01 1.182377e+00 8.413005e-01 1.785296e-01 8.506193e-01 7.836777e-01 8.876807e-01 3.788613e-01 1.268669e+00 1.048859e+00 1.299843e+00 1.935496e+00
1.923443e+00 1.916576e+00 9.831900e-01 5.055394e-01 8.307760e-01 7.689330e-01 3.849318e-01 7.475174e-01 8.122864e-01 2.782428e-01 1.838409e+00 1.873070e+00 9.119918e-01 9.198527e-01 1.167288e+00
8.048269e-01 1.193595e+00 1.260366e+00 1.101548e+00 8.955301e-01 6.574944e-01 5.603700e-01 9.982309e-01 5.863556e-01 2.317344e-01 9.028534e-01 1.924236e-01 1.619724e+00 1.819732e+00 1.618875e+00
1.218349e+00 1.962452e+00 7.703129e-01 1.231996e+00 1.035229e+00 3.305863e-01 3.110650e-01 8.344093e-01 6.795720e-01 8.041318e-01 1.232522e+00 9.977665e-01 1.315072e+00 1.373396e+00 1.780801e-01
4.691625e-01 1.221684e+00 1.456311e+00 1.749368e+00 4.949527e-01 2.752557e-01 2.544738e-01 9.820529e-01 9.245653e-01 1.000298e-01 1.987354e+00 4.301452e-01 1.507115e+00 1.280822e+00 1.751659e+00
1.988600e+00 1.511667e+00 1.715872e+00 1.341064e+00 2.967862e-01 9.841167e-01 7.831193e-01 8.450305e-02 8.380154e-01 8.134026e-01 2.819202e-01 1.712218e-02 1.932375e+00 8.366861e-01 6.129842e-01
1.393729e+00 5.788370e-01 9.790528e-01 1.795245e+00 3.296491e-01 1.681559e-01 4.995760e-01 8.299884e-01 2.953362e-01 8.474008e-01 8.815288e-01 8.939401e-01 1.120156e-01 1.609391e+00 1.068990e+00
2.597892e-01 4.603467e-01 1.697639e+00 8.182161e-01 1.122108e+00 2.498059e-01 9.213253e-01 5.985198e-01 6.288093e-01 2.685986e-01 9.159188e-01 1.668544e+00 5.110699e-01 2.337271e-02 1.599607e+00
9.377622e-01 1.058982e+00 1.991867e+00 7.033346e-01 9.697808e-01 7.066243e-01 2.850446e-01 5.542080e-01 1.268713e-01 9.983570e-01 1.780528e+00 1.259746e-01 1.669428e-02 1.686037e+00 5.306916e-01
1.459828e+00 9.899960e-01 2.739185e-01 1.336107e+00 7.688241e-01 8.044169e-01 6.532011e-02 9.325548e-01 5.787139e-01 3.294651e-01 9.906076e-01 5.091001e-02 6.855035e-01 1.321631e+00 4.292151e-01
5.134081e-01 1.998814e+00 1.542780e+00 1.594269e+00 1.264116e+00 1.153006e-01 1.221622e-01 6.485386e-01 8.324131e-02 9.300352e-02 5.952470e-02 4.638630e-01 1.376798e+00 1.243034e+00 1.963240e+00
1.776254e+00 1.706091e+00 1.026075e+00 8.408162e-01 6.549455e-01 5.171370e-01 7.408890e-01 3.446515e-01 8.285152e-01 6.606769e-02 1.749530e+00 1.747342e+00 5.266882e-01 6.616177e-01 1.047682e+00
1.031201e+00 1.373676e+00 1.093856e+00 1.709081e+00 1.407498e+00 5.719663e-01 1.694174e-01 1.905975e-01 9.652655e-01 4.168980e-01 1.402395e+00 1.456404e+00 9.234822e-01 7.105644e-01 5.972039e-01
1.019975e+00 4.172547e-01 1.653682e+00 5.112931e-01 7.328798e-01 8.383299e-01 1.922459e-01 8.534182e-01 3.422657e-01 5.581404e-01 1.094609e+00 1.972117e+00 3.706080e-01 6.766337e-01 9.325540e-01
1.038449e+00 1.029032e+00 2.171667e-01 1.208304e+00 1.253182e+00 9.421665e-01 5.939525e-02 6.567325e-01 6.168984e-01 8.353306e-01 4.441092e-01 1.538610e+00 1.964563e+00 2.989164e-01 1.212294e+00
1.970938e+00 1.449858e+00 2.968689e-01 1.696573e+00 5.754467e-01 9.196679e-01 4.020258e-01 5.239887e-01 7.992849e-01 7.257676e-01 1.202351e+00 1.378498e+00 4.360184e-01 1.723978e+00 1.183353e+00
1.466305e+00 6.048159e-01 1.977133e+00 2.691034e-01 3.444589e-01 7.168243e-01 1.103169e-01 3.591441e-01 7.314981e-01 8.062659e-02 6.547166e-01 7.533021e-01 1.061885e+00 8.232395e-01 1.514560e+00
1.835080e+00 1.834534e+00 1.307760e+00 3.401575e-01 1.641826e+00 5.877564e-01 9.970539e-01 9.087493e-01 6.028799e-01 7.970696e-01 1.831661e+00 1.299316e+00 9.465510e-03 1.119496e+00 4.161844e-01
